Order,Text,AUDIOTEXT,TXTGRDTXT,StartTime,EndTime,stem,,LogFrqHAL,Close Brackets 3,Close Brackets Truncated,TDP,BUP,TDX,BUX,TDXStack,BUXStack,TDPennStack,BUPennStack,LexFunc,POS,EARLYX_SURPRISAL,Ngram Text,Ngram POS,2-gram lex,3-gram lex,2-gram pos,3-gram pos,Break Strength (post-word),Word,StartTimeCorrected,EndTimeCorrected,,TB-word,TB-arclabel,,TB-full-word,TB-full-arclabel
53,Alice,Alice,Alice,"35,9061","36,2911",Alice,,"8,65",2,2,3,3,8,10,2,4,3,10,1,NN,"4,766305768",alice,NNP,"1,510457451","2,798877229","5,884098015","5,814071771",3,Alice,35.93814688160497,36.279755930236284,,Alice,SUB,,Alice,SUB
54,without,without,without,"36,2911","36,6266",without,,"12,45",1,1,4,3,16,9,4,9,2,12,0,minor|NN|RB,"6,347573714",without,IN,"10,51921751","7,499319113","3,86589382","1,795419087",1,without,36.279755930236284,36.75120351491386,,without,VMOD,,without,VMOD
55,pictures,pictures,pictures,"36,6266","37,1681",picture,,"10,46",1,1,3,2,15,9,4,13,3,13,1,NN|VB,"9,272154671",pictures,NNS,"6,590306709","2,798877229","4,909411093","6,167259166",0,pictures,36.75120351491386,37.19576323573544,,pictures,NMOD,,pictures,NMOD
56,or,or,or,"37,1681","37,3256",or,,"14,78",1,1,2,2,2,5,4,12,2,14,0,minor,"4,356789029",or,CC,"1,751805493","2,798877229","2,743301372","2,389715345",2,or,37.19576323573544,37.33615051599489,,or,NMOD,,or,NMOD
57,conversations,conversation,conversation,"37,3256","38,3348",conversation,,"8,44",9,0,3,11,17,32,3,15,1,15,1,NN,"7,165790247",conversations,NNS,"6,018602884","1,325934311","4,998870617","1,987502935",4,conversation,37.33615051599489,38.31418190180235,,conversations,PMOD,,conversations,PMOD
58,so,So,so,"39,5855","39,7809",so,,"14,05",1,1,4,2,2,0,2,1,9,1,0,RB|minor,"7,748219745",so,IN,"5,862073632","5,862073632","3,941534123","3,941534123",2,so,39.55775878424757,39.780681662361,,So,VMOD,,So,VMOD
59,she,she,she,"39,7809","39,985",she,,"13,1",2,2,5,3,2,1,2,2,9,2,0,minor,"3,132542541",she,PRP,"2,34248085","1,108357987","2,127761383","1,407434495",1,she,39.780681662361,40.028699190819346,,she,SUB,,she,SUB
60,was,was,was,"39,985","40,2331",is,,"14,56",1,1,3,2,3,1,3,3,9,3,0,VB,"3,719507686",was,VBD,"3,307829832","7,705776944","1,639557543","1,219911654",1,was,40.028699190819346,40.22524138318257,,was,ROOT,,was,ROOT
61,considering,considering,considering,"40,2331","40,9874",consider,,"10,29",5,5,3,6,12,9,2,7,8,4,1,VB,"9,882648471",considering,VBG,"10,4134141","8,606218773","4,019964846","3,802444994",1,considering,40.22524138318257,40.983332696583574,,considering,VC,,considering,VC
62,in,in,in,"40,9874","41,0831",in,,"15,9",1,1,4,3,5,2,5,7,7,4,0,minor|RB|JJ,"3,385725635",in,IN,"3,474803226","2,798877229","2,127412581","1,933425268",1,in,40.983332696583574,41.11904040083437,,in,VMOD,,in,VMOD
63,her,her,her,"41,0831","41,3286",her,,"13,3",1,1,4,2,5,4,5,8,9,5,0,minor,"3,729930386",her,PRP$,"4,60233206","2,798877229","3,822908071","3,09947518",0,her,41.11904040083437,41.34366004924948,,her,NMOD,,her,NMOD
64,own,own,own,"41,3286","41,562",own,,"12,56",1,1,2,2,5,3,5,10,8,6,0,JJ|VB,"7,823568433",own,JJ,"5,941932783","6,70577693","3,380560126","3,476231655",1,own,41.34366004924948,41.59635715371648,,own,NMOD,,own,NMOD
65,mind,mind,mind,"41,562","41,9332",mind,,"11,78",2,2,2,3,1,1,4,11,7,7,1,NN|VB,"6,919083644",mind,NN,"5,211772988","5,120818597","1,281995168","0,6018370349",3,mind,41.59635715371648,42.008159842477525,,mind,NMOD,,mind,NMOD
66,as,as,as,"42,224","42,472",as,,"14,79",1,1,3,2,7,11,3,8,8,6,0,minor|RB,"4,38283688",as,RB,"5,349300811","2,798877229","4,144902561","4,20964694",1,as,42.24681821891858,42.49459685345919,,as,VMOD,,as,VMOD
67,well,well,well,"42,472","42,7002",well,,"13,22",1,1,4,7,3,1,4,9,7,7,0,RB|minor|JJ|NN|VB,"7,241376589",well,RB,"3,637046194","2,798877229","2,913423953","2,948975228",1,well,42.49459685345919,42.69113904582242,,well,DEP,,well,DEP
68,,as,as,"42,7002","42,7952",,,,,,,,,,,,,,,,"4,511189549",as,IN,"2,586406708","1,223834851","3,092296493","1,917284019",0,as,42.69113904582242,42.784730565995375,,as,DEP,,as,DEP
69,she,she,she,"42,7952","42,9868",she,,"13,1",2,2,3,3,5,3,4,11,5,5,0,minor,"3,179219652",she,PRP,"2,098611464","0,7384081427","2,127761383","1,66344885",1,she,42.784730565995375,42.990631910375896,,she,SUB,,she,SUB
70,could,could,could,"42,9868","43,4418",can,,"13,21",3,3,3,4,3,1,5,12,4,6,0,VB,"5,400792303",could,MD,"4,070790345","1,8447165","2,904501254","3,150307324",3,could,42.990631910375896,43.45390993523206,,could,SBAR,,could,SBAR
71,for,for,for,"43,4418","43,573",for,,"15,42",1,1,3,3,20,24,3,10,2,3,0,minor,"6,895154761",for,IN,"4,658804837","3,6081122","6,174235215","5,97488631",0,for,43.45390993523206,43.61991450700605,,for,VMOD,,for,VMOD
72,the,the,the,"43,573","43,6573",the,,"16,96",1,1,4,2,3,1,4,11,4,4,0,minor,"1,8275659",the,DT,"3,088904805","2,325934326","1,448510136","1,602773833",2,the,43.61991450700605,43.70414687516172,,the,NMOD,,the,NMOD
73,hot,hot,hot,"43,6573","43,9566",hot,,"10,85",1,1,2,2,5,3,4,13,3,5,1,JJ|VB,"7,786094179",hot,JJ,"12,55961218","6,968807196","2,425519086","2,414520182",1,hot,43.70414687516172,44.04107634778438,,hot,NMOD,,hot,NMOD
74,day,day,day,"43,9566","44,22",day,,"12,38",2,2,2,3,1,1,3,14,2,6,1,NN,"5,223580278",day,NN,"4,211772974","2,798877229","1,281995168","0,5156330008",1,day,44.04107634778438,44.23293896413896,,day,PMOD,,day,PMOD
75,made,made,made,"44,22","44,4235",make,,"12,51",1,1,3,2,3,4,4,12,2,5,1,VB|NN,"6,105339861",made,VBD,"6,533701054","2,798877229","3,51898487","3,256944538",1,made,44.23293896413896,44.46691776457137,,made,NMOD,,made,NMOD
76,her,her,her,"44,4235","44,5422",her,,"13,3",2,2,4,3,10,8,3,15,2,6,0,minor,"4,443315642",her,PRP,"2,894611874","2,798877229","3,83357146","4,967212642",1,her,44.46691776457137,44.64942122890865,,her,SUB,,her,SUB
77,feel,feel,feel,"44,5422","44,7947",feel,,12,1,1,3,2,2,1,3,16,4,7,1,VB|NN,"9,21966922",feel,VBP,"9,84403562","5,120818597","2,544058768","3,667342178",1,feel,44.64942122890865,44.855322573289165,,feel,VMOD,,feel,VMOD
78,very,very,very,"44,7947","45,118",very,,"13,28",1,1,3,2,8,5,3,19,6,8,1,RB|JJ,"5,095510076",very,RB,"2,348942","2,798877229","2,422429693","2,290951101",1,very,44.855322573289165,45.13609713380806,,very,AMOD,,very,AMOD
79,sleepy,sleepy,sleepy,"45,118","45,6001",sleep,,"7,09",1,1,2,2,2,1,3,20,5,9,1,JJ,"7,515025066",sleepy,JJ,"6,931701259","4,383848849","3,1155666","3,112952242",1,sleepy,45.13609713380806,45.618093462698816,,sleepy,AMOD,,sleepy,AMOD
80,and,and,and,"45,6001","45,7397",and,,"16,19",1,1,2,2,2,1,3,21,4,10,0,minor,"2,289868451",and,CC,"1,670870037","1,325934311","3,984951723","3,085978186",1,and,45.618093462698816,45.75848074295826,,and,AMOD,,and,AMOD
81,stupid,stupid,stupid,"45,7397","46,3512",stupid,,"10,72",2,2,2,3,1,1,2,22,3,11,1,JJ|NN,"7,391173056",stupid,JJ,"9,503338675","4,383848849","4,998870617","2,290951101",4,stupid,45.75848074295826,46.32470944000469,,stupid,NMOD,,stupid,NMOD
82,whether,whether,whether,"46,9378","47,2012",whether,,"11,63",1,1,4,3,5,18,2,9,2,10,0,minor,"7,477124334",whether,IN,"4,47480324","3,798890531","3,225216802","2,130727865",1,whether,46.998568385250024,47.25229493716279,,whether,VMOD,,whether,VMOD
83,the,the,the,"47,2012","47,3731",the,,"16,96",1,1,5,2,3,1,3,10,4,11,0,minor,"1,903449803",the,DT,"3,211238129","2,798877229","1,448510136","2,050686008",1,the,47.25229493716279,47.444157553517364,,the,NMOD,,the,NMOD
84,pleasure,pleasure,pleasure,"47,3731","47,8358",pleasure,,"9,73",2,2,2,3,5,3,3,12,3,12,1,NN|VB,"8,181201469",pleasure,NN,"12,55961218","3,798890531","1,118174284","0,8243397787",1,pleasure,47.444157553517364,47.869998970304344,,pleasure,SUB,,pleasure,SUB
85,of,of,of,"47,8358","47,9435",of,,"16,21",1,1,3,2,3,1,4,13,3,12,0,minor,"3,863895812",of,IN,"2,889851551","2,798877229","2,064794236","1,877723178",1,of,47.869998970304344,48.00570667455514,,of,NMOD,,of,NMOD
86,making,making,making,"47,9435","48,3147",make,,"11,69",1,1,4,2,16,12,4,17,3,13,1,VB|NN,"9,43473564",making,VBG,"10,88137411","2,798877229","4,603793708","4,029100148",1,making,48.00570667455514,48.34263614717781,,making,PMOD,,making,PMOD
87,a,a,a,"48,3147","48,4353",a,,"16,18",1,1,3,2,9,6,5,19,3,14,0,minor|NN,"3,738095809",a,DT,"4,889844936","2,798877229","3,70189023","2,975447673",2,a,48.34263614717781,48.506421307480494,,a,NMOD,,a,NMOD
88,daisy,daisy,daisy,"48,4353","48,8774",daisy,,"7,19",6,6,2,7,6,4,5,21,2,15,1,NN,"8,866792163",daisy-chain,NN,"11,17526508","2,798877229","1,118174284","0,8245656698",1,daisy,48.506421307480494,48.8761078121637,,daisy-chain,OBJ,,daisy-chain,OBJ
89,chain,chain,chain,"48,8774","49,2486",chain,,"10,06",,,2,7,6,4,4,22,2,15,1,NN|VB,0,,,0,0,0,0,3,chain,48.8761078121637,49.22239643680366,,,,,,
90,would,would,would,"49,3563","49,5359",would,,"14,06",1,1,3,2,13,25,3,11,2,12,0,VB,"5,7659466",would,MD,"1,889851537","2,798877229","6,440354875","6,470684078",1,would,49.40957947714959,49.58653030087873,,would,SBAR,,would,SBAR
91,be,be,be,"49,5359","49,6676",be,,"14,95",1,1,3,2,7,6,2,13,4,13,0,VB,"4,455353389",be,VB,"2,498943663","2,798877229","0,7819087911","0,3453974737",1,be,49.58653030087873,49.73159715714682,,be,VC,,be,VC
92,worth,worth,worth,"49,6676","49,931",worth,,"11,31",1,1,3,2,2,1,2,14,4,14,1,JJ|NN|RB|minor,"9,585606727",worth,JJ,"9,099292561","6,886356941","4,643191775","4,393748195",2,worth,49.73159715714682,49.970255533587874,,worth,PRD,,worth,PRD
93,the,the,the,"49,931","50,018",the,,"16,96",1,1,4,2,9,5,3,17,5,15,0,minor,"3,392837016",the,DT,"3,889844922","2,798877229","5,800518304","4,576786433",1,the,49.970255533587874,50.073206205778135,,the,NMOD,,the,NMOD
94,trouble,trouble,trouble,"50,018","50,4235",trouble,,"10,81",2,2,2,3,5,3,3,19,4,16,1,NN|VB,"7,24628384",trouble,NN,"12,55961218","2,798877229","1,118174284","2,060336209",0,trouble,50.073206205778135,50.4194948304181,,trouble,PRD,,trouble,OBJ
95,of,of,of,"50,4235","50,5177",of,,"16,21",1,1,3,2,3,1,4,20,4,16,0,minor,"4,016920634",of,IN,"4,47480324","2,798877229","2,064794236","1,877723178",1,of,50.4194948304181,50.57860041471214,,of,NMOD,,of,NMOD
96,getting,getting,getting,"50,5177","50,8997",get,,"11,99",1,1,5,2,17,12,5,24,6,17,1,VB|NN,"8,463445508",getting,VBG,"8,743314746","2,798877229","4,603793708","4,029100148",1,getting,50.57860041471214,50.90617073531751,,getting,PMOD,,getting,PMOD
97,up,up,up,"50,8997","51,0804",up,,"13,74",3,3,3,4,10,8,4,27,5,18,0,minor|VB|JJ|RB,"3,882218855",up,RP,"2,691960973","3,798890531","3,225446015","3,975451009",0,up,50.90617073531751,51.12143123171533,,up,VMOD,,up,VMOD
98,and,and,and,"51,0804","51,236",and,,"16,19",1,1,2,2,2,6,4,23,4,18,0,minor,"3,634278392",and,CC,"1,97229847","0,5637046223","3,127286362","3,416470169",2,and,51.12143123171533,51.285216392018015,,and,VMOD,,and,VMOD
99,picking,picking,picking,"51,236","51,5713",pick,,"9,07",1,1,3,2,10,7,4,26,4,19,1,VB|NN,"9,245140567",picking,VBG,"11,64139804","7,442746677","4,455735373","3,00144176",1,picking,51.285216392018015,51.61278671262338,,picking,VMOD,,picking,VMOD
100,the,the,the,"51,5713","51,6459",the,,"16,96",1,1,3,2,9,6,5,28,4,20,0,minor,"2,786004583",the,DT,"2,889851551","2,798877229","3,70189023","4,467827191",1,the,51.61278671262338,51.71573738481364,,the,NMOD,,the,NMOD
101,daisies,daisies,daisies,"51,6459","52,3136",daisy,,"5,7",8,0,2,9,22,54,4,31,3,21,1,NN,"9,6273652",daisies,NNS,"12,55961218","2,798877229","4,136730618","3,384214247",4,daisies,51.71573738481364,52.40363505808492,,daisies,OBJ,,daisies,OBJ
102,when,when,when,"52,8922","53,0946",when,,"13,76",2,2,5,4,2,0,2,1,2,16,0,minor,"6,012500017",when,WRB,"1,889851537","2,798877229","6,622462973","7,001229214",,,,,,when,NMOD,,when,NMOD
